tweets_record.userid,tweets_record.lang,tweets_record.friendscount,tweets_record.location,tweets_record.followerscount,tweets_record.deviceused,tweets_record.retweetcount,tweets_record.issensitive,tweets_record.isretweet,tweets_record.isretweeted,tweets_record.postdate,tweets_record.text
2263509416,en,1420,L4HG,301,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,"RT @SamandColby: SECRET ENDING to the FULL Shadowman Movie!!! (stick around til the end)
#season3 

https://t.co/atHHrsrKmd https://t.co/xi…"
1007729121105973248,en,1154,s/h,1102,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,@taes_paradise but i really want to see them so fuck post concert depression it’s for the weak😤😤
1078408263878828032,en,182,she/her,97,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,RT @fawsettoland: there’s a right answer. https://t.co/q9B3TAZfhv
200251704,en,443,null,135,Twitter Web App,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,"RT @NurseNatNat36DD: Good Morning, Its #Sunday lazy day... Are you in need of that naughty Nurse fix? ....Good because, when #Nurses get #b…"
1010622994245410816,en,158,null,35,Twitter Web App,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,"RT @LaChicaSexy__: does “GO GO GO GO GO GO GO GO GO , WHO’S NEXTTT” go through your head at least 20 times a day"
1228876776300011521,pt,503,null,113,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,"RT @clarascuthbert: garaio................
o mundo ta perdido https://t.co/EWQxJMiFTI"
2892293862,en,4949,"Tennessee, USA",2030,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,RT @ParkerBailey00: DO. NOT. GO. INTO. HEALTHCARE. IF. YOU. ARENT. COMFORTABLE. HELPING. EVERY. SINGLE. HUMAN. BEING. REGARDLESS. OF. THEIR…
784500569134161920,tl,424,"Calgary, Alberta",383,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,@AR_Cvban AYO YHIS A BANGER
1117704544773910528,ar,263,null,71,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,@GV2l_ ولاريال
1081768167809011713,en,386,The Valley,365,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,RT @SourrPaatch: I like people you can have comfortable silences with
1083475520937955328,en,146,ᵒᵒᶜ²⁹  ᵗᵃᵏᵉⁿ |⚓|🌌|😈|🐻,332,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,@eunbeaniebaby @parkjimagine // here is your answer
872688145,en,5420,"Kentucky, USA",5110,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,RT @RealJamesWoods: Some douchebag liberal complaining about a photo of #JoeBiden with KKK leader Robert Byrd. They fear the facts so much.…
3303281180,ja,13141,null,13941,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,RT @uzihara0420: 夏川りみ   涙そうそう nada sousou https://t.co/gzdAL7IRpA @YouTubeより
52839804,en,5000,Sandy Bedfordshire UK,598,Twitter Web App,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,RT @MrLeesPureFoods: 🎉 Get your hands on SIX delicious gluten free noodle pots this #FreebieFriday 🎉 Simply retweet and follow us to #win s…
1250130541371949058,en,68,null,11,Twitter for iPhone,0,True,True,False,Sun Jun 14 15:15:00 CDT 2020,RT @EricTrump: Jupiter Florida Trump 2020 Boat Parade!!!  Happy Birthday @realDonaldTrump https://t.co/LZam4a6i15
1222485877798076416,und,365,she/they carrd byf,321,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,@brengae :(
3248453770,en,3094,null,3051,Twitter for iPad,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,"RT @55krissi55: Corbyn #inspired & motivated me, Starmer has the opposite effect. Starmer is too compliant/complicit with injustices & dirt…"
233976845,en,7793,Hogwarts,11674,Twitter Web App,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,"@sundaytrain @smoothmove76 COME ON, once upon a time i used to post happy moments, but then pain won"
932388434,en,88,Texas,52,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,RT @ewarren: Remember: Steve Mnuchin is refusing to disclose which companies received more than $500 billion in taxpayer funds. Americans d…
1213873929028169729,pt,108,null,34,Twitter Web App,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,"@FePaesLeme @brunodeluca Eu tenho um nojo desse playboy, tive o desprazer de atender ele no hotel em que trabalho é foi a pessoa mais estúpida que eu já vi. Isso pq ele já foi processado por um funcionário de hotel por humilhar ele."
1184848301302190080,en,157,AFK,1,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,RT @primapea_: She did that. https://t.co/Mr8fDauECf
894678237703483393,en,667,null,66628,Twitter Web App,0,True,True,False,Sun Jun 14 15:15:00 CDT 2020,RT @Porn_star_porn_: #BrittneyWhite part 8 https://t.co/PL6fNwh6rq
4614743054,en,5004,null,294,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,"RT @Muchomasxxx: His booty is so big and fat I wanna punch it 🤜🏽🍑 @dmanncruz 
https://t.co/oetar4ojhs https://t.co/yc4fmCzlTL"
4562454393,en,970,United States of America,2738,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,"@S1ckSigma 💯, waiting for you to break Richie out 😆"
163764767,ar,495,Lebanon,292,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,@hasan_pft عم احكي بشكل عام عاللي قالته...تجربتي و تجربة كتير غيري ما بتنتسى!  بالنسبة ل مبارح شعب معوّد حقوقه تتاكل شو ناطر منو ما يشك؟؟
1262117201827573761,ar,30,null,8,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,يعلك ماتربح  #احمد_ياكلب_رجع_الفلوس_لحور
1094681176017723394,en,223,"Cascais, Portugal",211,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,@PhaedraXTeddy Yulin is for uncivilized people. Monsters!!!
1268073850501292032,und,415,Sri Lanka,312,Twitter Web App,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,https://t.co/J0292CQBMx
1389879272,es,3494,null,254687,DogTrack_Oficial,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,"La consagración de un formato, eso fue, entre otras cosas Ill Communication. Inspirados en fuentes hip hop como Public Enemy y Rum-DMC, hardcore punk al modo Bad Brian y el uso exuberante de samplers
 https://t.co/svD50wdth4"
552660741,ar,3105,المملكة العربية السعودية,775,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,@iir633 هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه 😭
932931751105544193,ja,163,💜1000%undergroundiDOL💜,1336,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,余韻覚めやらぬ🤗🔥🔥🔥
1033291787228655616,en,4877,Sun,10136,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,RT @chidisteph_: “Do you have game on your phone”
1097905903154675713,en,189,null,8,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,RT @value_invest12: I’ve mostly found the valuation of $FB way too low. I thought that’s primarily due to the uncertainty whether $FB will…
117727352,tr,245,Ayşe'sinin kalbi 👍🏼👫,56,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,@cinarrrrr Kesiiinnn. Şiödi takım halinde musleraya giderler hastanede kaparlar.Sonra matih merim öldü haberi çıkar.Dualar beddualar. 5 gün sonra da aa ben ölmemişim ya der.Basın ah hocam vah hocam öldü öldü dirildi der. Sonra çocuklarının sağlığı lig iptal olsun falan filan @Ordinaryusbey
994726371560775680,fr,45,"Ile-de-France, France",41,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,"RT @thobeiyas: « Ce nom d’utilisateur est déjà utilisé, veuillez en trouver un autre »"
879337334495256576,ja,103,null,1369,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,@_dore1 :(´◦ω◦｀):ｶﾞｸﾌﾞﾙ可愛くオネダリしたら考えてやるよ( ´•ᴗ•ก)ﾎﾟﾘﾎﾟﾘ
622066770,und,2,null,11,Emerry Tweet,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,"||||||||||||||||||||||||...:...:...:....|
 60%(±0%) 5:10 (2020/6/15)"
1543690687,fa,273,ناف كاراعيب,1570,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @keepcalmbaba: یعنی زمانی که دنبال آفتابه‌‌ی خمینی راه افتادیم   آی‌کیومون ۱۰۴ بود؟!
1221803444454985728,in,459,null,772,Twitter Web App,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,@kolezenci YAN YAN YANNNNNNNNN OPYYYYYYYYYYYYYYYYYYY
345894010,tr,154,Adana,239,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @AliNaciKucuk: Tamam Galatasaray kötü
Evet, bu gece Galatasaray gibi oynamadı

Peki hakem Yaşar Kemal Uğurlu'ya ne demeli

Rizespor resm…"
1096412831170338818,ar,160,Mansoura,806,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @sanfoor_6_1: ""من يتقبلك وأنت مُنطفئ يستحق كُل الحُب."""
1243237957508751362,ar,250,null,57,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,@12Nwxd @rico4_ نون موقفين الاكواد
1049458474822881280,ar,11554,null,10796,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @V_1_l: -

""اللهُم البشارات الجميلة التي نُحب ، والأيام
التي تسُّر ، واليقين الذي يريح القلوب""🖤"
625310764,ja,29,null,4,ドリフトスピリッツ,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,決めろ！最速ドリフト！スマートフォン向けドリフトゲーム「ドリフトスピリッツ」配信中！#ドリフトスピリッツ 2020/06/15 5:15:03 https://t.co/bUGFupIlwu
1254554912979144706,ar,98,null,60,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @alh1993ages: سبحان الله والحمدلله ولا إله إلا الله والله أكبر
2179920392,ja,742,null,388,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @tosa_muttyan: 審『何かトレンド欄で「ハッカ油」が見えるんだけど、
　　あれ雑に扱うと危険だぞ…』

①まず大抵の精油は原液を直に肌に付けてはいけない。
②ミント系のスーッとする感覚は冷感であって実際に
　冷えてる訳では無いから、熱中症対策にはならない。
③…"
540156775,en,129,"Nashville, TN",401,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,How do you become okay with making mistakes?
2531596637,ru,50,null,80,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,Мы были на охуенной тусовке в бробургер. Надеюсь у ребят все хорошо. Оно того стоило
2715347238,en,274,null,107,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @seharr_a: WERE NOT FEIENDS IF I DONT TEXT YOY LIKE TJIS
991442103665381376,und,437,Neo tokyo 3,108,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,"@F0rknife 6,9"
1000669117609787393,th,515,"Always with WANNAONE,CIX",69,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @priplum21: สีรวยมั้ย ไม่แน่ใจ ที่สีมีก็แค่

- หอพักริมแม่น้ำ
- ชมดอกซากุระได้แบบไม่เบียดชาวบ้านเพราะมีที่ตึก ปลูกไว้ให้ลูกถ่ายรูปไว้อวด…"
1037387131600203777,en,117,still,160,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,@vey_hndrxx Boom love to see it
812317572125327360,pt,476,"rio de janeiro, bxd",774,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @FilipeRet: Tesão da tarde
1049376401487515648,en,640,null,976,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @xGoddessLeahx: https://t.co/OXdqtyEs4a
https://t.co/OXdqtyEs4a
https://t.co/OXdqtyEs4a

▪️ FINDOM FEMDOM GODDESS WORSHIP BRAT HUMILIATR…"
901042540647940097,es,160,null,69,Twitter Web App,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,"@antonybones @MichelReuters @arisroussinos Tampoco.Pero en este caso,si."
53195034,pt,816,Recife - PE,1121,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @hugosaldanha_: Oi amigos e amigas. Estou com uma loja virtual da @magazineluiza com um monte de produto lá. É igual ao site original, a…"
2718033898,en,197,polish,694,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @nastyyjenny: u want me? make me feel that shit
992601629592604672,en,1518,cctx,1899,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @xobarbzz: you can’t do good if you’re wishing bad on others
2999263560,th,571,ON THE SHIP,33,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @NM_Queen: ยืนหนึ่งแคมเปญผมสีทอง เหมือนตุ๊กตาบาร์บี้แต่สัญชาติจริงดันเกาหลี https://t.co/anrIU12Krw
210563699,en,42,hell,12121,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,"i said i was never gone fuck with this bitch again, now look at me...fucking with this bitch AGAIN. chile."
504084312,ja,2060,愛知 安城市,702,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @eriguitar: アーティスト仲間から結構、問い合わせがあったため作ってみました♪
まだライブやイベント再開は難しいので、離れた仲間と、ストレスなく綺麗な画面でzoomでコラボ配信できるのでかなりオススメです♪ぜひみてみてね♪

【簡単！】ツイキャスでzoomコラボ…"
1138054134513512449,fr,147,Viens dm bg,46,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,@pqtudeuh parcours sup ça a pas marché pour toi bg?
3539118072,en,197,Most likely in the way,224,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @wlwnation: they are girlfriends https://t.co/Tr996lvQV2
1249774390771953667,fr,169,Konoha,69,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,@sahjmenfouu @sofiaabrh c’est pas possible j’suis dans un rêve là
1174329352655450118,und,13391,Right here,26905,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,@mrrebelxo ✅
182152255,es,614,"La Plata, Argentina",716,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @jjconti: En el 72, María Larreta le preguntó a Borges su opinión sobre el feminismo. https://t.co/wgjvLauSYv"
96188086,en,247,Deep East Texas ,24,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @aishaismad: why do people keep telling me ""i hear you, i see you""? i'm a person not casper the friendly ghost"
481397009,es,823,null,239155,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @MartaGranados20: Hoy EEUU está presente en virtualmente cada rincón del mundo, pero esto no siempre fue así. Aquí hago un breve resumen…"
1214247968787689473,pt,748,Brasil,315,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @Heelixir: O Ryeowook todo confortável no Hyukjae e na outra surtando do Yesung espremendo ele rsrsrs https://t.co/SHPTxmVBNB
3181722612,tl,54,ikan bilis goreng belada ,132,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @shahirahnizam: girls passing pads in class macam pusher dadah, sorok2 dalam bag >>>>>"
3826918834,es,129,null,174,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @alborvisuals: Cuando me estoy cagando y el baño está ocupado https://t.co/6MuzpB4oF9
831736547028430849,in,1450,"Gombe, Nigeria",981,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,@aeeshasulayman @strivingoukhtee Allah kawo kasuwa
138915596,en,173,wahhhhhh,408,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,Update: I came out to my mama 🏳️‍🌈 very supportive 10/10
2571503818,en,37,"𝓚𝓪𝔂𝓸𝓵𝓮  , 𝕹𝖆𝖎𝖗𝖔𝖇𝖎",164,Twitter Web App,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @TotalElBicho: Messi riding Cristiano Ronaldo because he's too short to reach Ronaldo level. https://t.co/vrGSW5MMam
313887160,en,618,bharat,440,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @AMIT_GUJJU: . @theskindoctor13 predicted 😭😭🤣🤣 https://t.co/xNByb2G5Hv
158874220,en,1404,Vila Industrial,1724,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,@Joaogrs__ Eric Faria
969635288430534661,th,232,oh my bts!♥,53,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @Pogas1212: งั้นก็เอาเรียลมึงมาเล่นค่ะ 
#บอทชั้นต่ำใครให้มึงยืมรูป"
1214327270954815488,en,5002,null,196,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @JuicyyJordann: Can I Be Your Freak Please🥺👉🏾👈🏾 https://t.co/35ZEq9KhTM
295413111,ar,323,"Ohio, USA",295,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,"@Dr_Wafy اذا البحث لايساوي ريالاً، معناته ايضاً المشرف على الرسالة لايسوى ريالاً. ومع احترامي للجميع لا اعتقد ان من يقول هالكلام على ""طالب"" انه يستحق ان يكون محكماً في لجنة المناقشة.  😏"
4912642362,en,4930,null,4321,Twitter Web App,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @thejtlewis: “Trump isn’t going to accept the 2020 election results,” shout the people who still haven’t accepted the 2016 election resu…"
1247557662532866050,es,133,null,46,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @tusa_brosopoto: Como se supera a un taehyung agarrandole las nalgas a hoseok? https://t.co/xzC6TVY7dg
1256099539276173313,en,2642,Around the world.,3597,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @derricknomanyo2: Follow me and drop your usernames for instant follow back ⚡️🔥
3180407627,pl,5002,Poland,3780,Twitter Web App,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @DorotaBawolek: Po słowach Prezydenta Dudy o ""ideologii LGBT"" były belgijski premier @eliodirupo otwarcie przyznający się do homoseksual…"
614511172,en,868,"Kansas City, MO",742,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @bread_maker7: You reach a different type of speed when you run barefoot
2379203088,in,108,barber soup,193,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,"@kokokribow @balimoon88 @paulkris7 Bukan surga semata. IMHO rahmat pernikahan ya memberikan perlindungan bagi wanita bila ditinggal pasangan. Without marriage, kalo abis freesex hamil, lakinya kabur, gak bisa pidana. Without marriage, kalo pasangan eue sama cewe lain, gak bisa pidana."
3242913951,es,2448,"Rancagua, Chile",4165,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,"@MariianaKai @UCH_LFC Que buena. La bici me hizo súper bien a las piernas, y dónde ahora ni se puede salir siento que he perdido mucho músculo 😣. Además que me movía en bici siempre 😭"
1079724573766156288,en,164,"Lahore, Pakistan",112,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,so true
1254094601780187137,pt,940,null,705,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,Se o PR fosse genocida essa senhora não estava falando  abobrinhas.
1249085494048305157,en,86,null,53,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @Mylenneriza: y’alls president really said that women should expect to be raped, especially if they are in the same place together. You…"
4218661593,tr,3616,izmir bornava,1255,Twitter Web App,0,True,True,False,Sun Jun 14 15:15:04 CDT 2020,RT @CananTatli6: Kimler burada ....😈 https://t.co/uGEv6qibs2
1070423185328390144,en,248,Ukraine,1058,Twitter Web App,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,"@Nickireda haha, look at him go"
830776664,ar,149,Al Madinah Al Munawwarah,544,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,"ما ذكرت اسم القصيدة! 😳😂
يومي كان حافلًا بالمفاجآت الحزينة ونسيت ذكرها

قصيدة البلبل الغريب | للشاعر بدوي الجبل

هذا إلقاء جميل لها:
https://t.co/x9S1kQ49PS"
1231389864643485696,pt,375,null,326,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,@gabreuuu_sz deus fez só eu https://t.co/GYblU8UaYt
275757060,fr,1422,"Forest, Belgique",683,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:04 CDT 2020,"RT @AureEtJuju: Y’en as ils ont l’iPhone 11, Airs Pods, balanciaga au pieds mais ils prennent le bus"
699759327913967617,es,0,null,130485,AgoraPulse Manager,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,"Con rodilla al suelo y puño en alto, Marcelo protesta contra el racismo tras gol con el Real Madrid. 

#BlackLivesMatter 

📷 @LaLiga https://t.co/2XsmYnzUOM"
1249912681785679872,es,348,𝗺𝗶𝗰𝗮; 𝗰𝗮𝗺𝗶𝗹𝗮,430,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:04 CDT 2020,ME VOY A TENER QUE MATAR https://t.co/hrRuROvNaY
